autono,stor,kind,to,da_s,kst,no_r,new,respon,note,cash,cashstor,respon2,da_st,mandob,closed,kindtel,exported
266433251,"رئيسى","مصاريف سيارة","اشرف","11/11/21 00:00:00",2.0000000000000000e+02,,"0",,"مشوار القاهرة","1","رئيسية",,"12/30/99 21:57:26","اسم المدير","0",,"0"
-510057496,"رئيسى","مصاريف سيارة","اشرف","11/11/21 00:00:00",2.3000000000000000e+02,,"0",,"مشوار اسماعيلية ","1","رئيسية",,"12/30/99 21:57:45","اسم المدير","0",,"0"
-1339179063,"رئيسى","اخرى","اشرف","11/11/21 00:00:00",7.5000000000000000e+01,,"0",,"دفتر","1","رئيسية",,"12/30/99 21:58:10","اسم المدير","0",,"0"
-677819306,"رئيسى","اخرى","اشرف","11/11/21 00:00:00",7.0000000000000000e+01,,"0",,"شبكة","1","رئيسية",,"12/30/99 21:58:16","اسم المدير","0",,"0"
-2012762337,"رئيسى","اخرى","اشرف","11/11/21 00:00:00",1.2000000000000000e+02,,"0",,"اله حاسبه","1","رئيسية",,"12/30/99 21:58:25","اسم المدير","0",,"0"
1030726260,"رئيسى","اخرى","اشرف","11/11/21 00:00:00",4.5000000000000000e+01,,"0",,"دفتر فواتير","1","رئيسية",,"12/30/99 21:58:41","اسم المدير","0",,"0"
1905509989,"رئيسى","اخرى","اشرف","11/11/21 00:00:00",3.5000000000000000e+02,,"0",,"لوح ابلاكش","1","رئيسية",,"12/30/99 21:58:52","اسم المدير","0",,"0"
460889538,"رئيسى","اخرى","اشرف","11/11/21 00:00:00",1.0000000000000000e+02,,"0",,"بنزين","1","رئيسية",,"12/30/99 21:59:13","اسم المدير","0",,"0"
1483736859,"رئيسى","اخرى","اشرف","11/11/21 00:00:00",1.5000000000000000e+02,,"0",,"لمبات","1","رئيسية",,"12/30/99 21:59:25","اسم المدير","0",,"0"
-1311538752,"رئيسى","مصاريف سيارة","اشرف","11/11/21 00:00:00",1.2500000000000000e+03,,"0",,"فرش سيارة","1","رئيسية",,"12/30/99 21:59:52","اسم المدير","0",,"0"
-121614655,"رئيسى","مصاريف سيارة","اشرف","11/13/21 00:00:00",2.1000000000000000e+02,,"0",,"توزيع خط بلقاس","1","رئيسية",,"12/30/99 22:00:28","اسم المدير","0",,"0"
735002094,"رئيسى","اخرى","اشرف","11/11/21 00:00:00",1.0000000000000000e+03,,"0",,"شراء برنامج محاسبه ","1","رئيسية",,"12/30/99 22:00:54","اسم المدير","0",,"0"
1629328406,"رئيسى","مصاريف سيارة","اشرف","11/14/21 00:00:00",1.0000000000000000e+02,,"0",,"بنزين توزيع","1","رئيسية",,"12/30/99 19:30:22","اسم المدير","0",,"0"
-96306743,"رئيسى","اخرى","محمود اشرف","11/18/21 00:00:00",3.0000000000000000e+02,,"0",,"1000 كارت شخصي وختامه","1","رئيسية",,"12/30/99 19:41:28","اسم المدير","0",,"0"
-61211050,"رئيسى","مصاريف سيارة","محمود اشرف","11/22/21 00:00:00",1.5000000000000000e+02,,"0",,"بنزين","1","رئيسية",,"12/30/99 19:41:48","اسم المدير","0",,"0"
-1647118049,"رئيسى","مصاريف سيارة","محمود اشرف","11/24/21 00:00:00",1.0000000000000000e+02,,"0",,"بنزين","1","رئيسية",,"12/30/99 19:42:06","اسم المدير","0",,"0"
1637987771,"رئيسى","بنزين","اشرف","11/25/21 00:00:00",1.0000000000000000e+02,,"0",,"بنزين","1","رئيسية",,"12/30/99 20:36:11","اسم المدير","0",,"0"
-1561067756,"رئيسى","بنزين","اشرف","11/28/21 00:00:00",2.0000000000000000e+02,,"0",,"بنزين","1","رئيسية",,"12/30/99 14:18:32","اسم المدير","0",,"0"
-414990457,"رئيسى","بنزين","اشرف","12/11/21 00:00:00",1.0000000000000000e+02,,"0",,"توزيع خط بلقاس","1","رئيسية",,"12/30/99 20:17:58","اسم المدير","0",,"0"
62649532,"رئيسى","بنزين","اشرف","12/10/21 00:00:00",2.5000000000000000e+02,,"0",,"مشوار القنطره","1","رئيسية",,"12/30/99 20:18:32","اسم المدير","0",,"0"
805989923,"رئيسى","مشوار ابو النمرس","اشرف","12/17/21 00:00:00",3.0000000000000000e+02,,"0",,"بنزين + مصاريف طريق","1","رئيسية",,"12/30/99 22:12:39","اسم المدير","0",,"0"
1655832726,"رئيسى","بنزين","اشرف","12/18/21 00:00:00",1.0000000000000000e+02,,"0",,"توزيع خط بلقاس","1","رئيسية",,"12/30/99 22:14:32","اسم المدير","0",,"0"
