code,code2,name,color,farz,kind,un1,un2,qu2,vis,pr_run1,pr_r2un1,pr_r3un1,pr_run2,pr_r2un2,pr_r3un2,p,p2,p3,company,rem,firstunit,taxprcent,da_expopt,salebycode,qu_max,qu_min,pict,alarm,txtalarm,company2,company3,stor,vaw,prcentw,efectw,vas,prcents,efects,codecomp,nomodel,media,marg,qu_s2,chk,pr_r4un1,pr_r4un2,pr_r5un1,pr_r5un2,pr_r6un1,pr_r6un2,pr_r7un1,pr_r7un2,pr_r8un1,pr_r8un2,pr_r9un1,pr_r9un2,pr_r10un1,pr_r10un2,pr_s,pr_s2,ser,codeun2,storadd,shortcode,d2w,d2s,aimname,evaluepolicy,pr_sa,prminut,engname,place,pr_r2,pr_r3,pr_rforqu_s,Prnparcode,exported
"100010",,"توزيع استيل عادى","لا","لا","عام","كرتونة","قطعه",24.0000,"1",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"النور",,"1",0.0000,"0","0",0.0000,0.0000,,"0",,,,"رئيسى",0.0000,"%","-",0.0000,"%","-","0",,,0.0000,0.0000,"1",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"0",,"رئيسى",,0.0000,0.0000,1,1,0.0000,0,,,0.0000000000000000e+00,0.0000000000000000e+00,0,"1","0"
"100011",,"معلقه ك","لا","لا","عام","دستة",,0.0000,"1",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"النور",,"1",0.0000,"0","0",0.0000,0.0000,,"0",,,,"رئيسى",0.0000,"%","-",0.0000,"%","-","0",,,0.0000,0.0000,"1",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"0",,"رئيسى",,0.0000,0.0000,1,1,0.0000,0,,,0.0000000000000000e+00,0.0000000000000000e+00,0,"1","0"
"100012",,"معلقه ص","لا","لا","عام","دستة",,0.0000,"1",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"النور",,"1",0.0000,"0","0",0.0000,0.0000,,"0",,,,"رئيسى",0.0000,"%","-",0.0000,"%","-","0",,,0.0000,0.0000,"1",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"0",,"رئيسى",,0.0000,0.0000,1,1,0.0000,0,,,0.0000000000000000e+00,0.0000000000000000e+00,0,"1","0"
"100013",,"سكينه برازيلي خشب","لا","لا","عام","علية","قطعه",12.0000,"1",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"النور",,"1",0.0000,"0","0",0.0000,0.0000,,"0",,,,"رئيسى",0.0000,"%","-",0.0000,"%","-","0",,,0.0000,0.0000,"1",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"0",,"رئيسى",,0.0000,0.0000,1,1,0.0000,0,,,0.0000000000000000e+00,0.0000000000000000e+00,0,"1","0"
"100014",,"سكينه 6*1 الوان","لا","لا","عام","علبه",,0.0000,"1",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"النور",,"1",0.0000,"0","0",0.0000,0.0000,,"0",,,,"رئيسى",0.0000,"%","-",0.0000,"%","-","0",,,0.0000,0.0000,"1",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"0",,"رئيسى",,0.0000,0.0000,1,1,0.0000,0,,,0.0000000000000000e+00,0.0000000000000000e+00,0,"1","0"
"100015",,"توزيع سيلكون عادى","لا","لا","عام","كرتونة","طقم",24.0000,"1",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"النور",,"1",0.0000,"0","0",0.0000,0.0000,,"0",,,,"رئيسى",0.0000,"%","-",0.0000,"%","-","0",,,0.0000,0.0000,"1",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"0",,"رئيسى",,0.0000,0.0000,1,1,0.0000,0,,,0.0000000000000000e+00,0.0000000000000000e+00,0,"1","0"
"100016",,"كرت سكينه 5*1","لا","لا","عام","كرتونة","علبه",10.0000,"1",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"النور",,"1",0.0000,"0","0",0.0000,0.0000,,"0",,,,"رئيسى",0.0000,"%","-",0.0000,"%","-","0",,,0.0000,0.0000,"1",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"0",,"رئيسى",,0.0000,0.0000,1,1,0.0000,0,,,0.0000000000000000e+00,0.0000000000000000e+00,0,"1","0"
"100017",,"مبشره اصلى","لا","لا","عام","دستة","قطعه",12.0000,"1",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"النور",,"1",0.0000,"0","0",0.0000,0.0000,,"0",,,,"رئيسى",0.0000,"%","-",0.0000,"%","-","0",,,0.0000,0.0000,"1",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"0",,"رئيسى",,0.0000,0.0000,1,1,0.0000,0,,,0.0000000000000000e+00,0.0000000000000000e+00,0,"1","0"
"100018",,"توزيع سيلكون فردى صب","لا","لا","عام","دستة","قطعه",12.0000,"1",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"النور",,"1",0.0000,"0","0",0.0000,0.0000,,"0",,,,"رئيسى",0.0000,"%","-",0.0000,"%","-","0",,,0.0000,0.0000,"1",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"0",,"رئيسى",,0.0000,0.0000,1,1,0.0000,0,,,0.0000000000000000e+00,0.0000000000000000e+00,0,"1","0"
"100019",,"مقص مفك","لا","لا","عام","دستة","قطعه",12.0000,"1",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"النور",,"1",0.0000,"0","0",0.0000,0.0000,,"0",,,,"رئيسى",0.0000,"%","-",0.0000,"%","-","0",,,0.0000,0.0000,"1",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"0",,"رئيسى",,0.0000,0.0000,1,1,0.0000,0,,,0.0000000000000000e+00,0.0000000000000000e+00,0,"1","0"
