autono,stor,kind,color,farz,unit,no_s,da_s,to,name,qu_s,pr_s,pr_sd,d,no_i,pr_sa,a,bonus,det,da_exp,da_expcode,qu_s2,mandob,pr_c,marg,da_st,serfrom,serto,duration,duration2,company,aimname,d2,prn,closed,sorttime,qu2,kindtel,exported
-486973144,"رئيسى","عام","لا","لا","دستة",1.0000000000000000e+00,"10/31/21 00:00:00","النور","معلقه ك",2.0000000000000000e+01,3.5000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,"1",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,"01/01/00 00:00:00",1,0.0000000000000000e+00,"اسم المدير",0.0000000000000000e+00,0.0000000000000000e+00,"12/30/99 20:53:01",,,0.0000000000000000e+00,,,1,0.0000000000000000e+00,"0","0","12/30/99 20:27:21",1.0000,"مورد","0"
1965032457,"رئيسى","عام","لا","لا","دستة",1.0000000000000000e+00,"10/31/21 00:00:00","النور","معلقه ص",2.0000000000000000e+01,3.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,"1",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,"01/01/00 00:00:00",1,0.0000000000000000e+00,"اسم المدير",0.0000000000000000e+00,0.0000000000000000e+00,"12/30/99 20:29:36",,,0.0000000000000000e+00,,,1,0.0000000000000000e+00,"0","0","12/30/99 20:29:36",1.0000,"مورد","0"
-276771946,"رئيسى","عام","لا","لا","كرتونة",1.0000000000000000e+00,"10/31/21 00:00:00","النور","توزيع استيل عادى",2.0000000000000000e+00,3.2400000000000000e+03,0.0000000000000000e+00,0.0000000000000000e+00,"1",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,"01/01/00 00:00:00",1,0.0000000000000000e+00,"اسم المدير",0.0000000000000000e+00,0.0000000000000000e+00,"12/30/99 20:31:08",,,0.0000000000000000e+00,,,1,0.0000000000000000e+00,"0","0","12/30/99 20:31:08",1.0000,"مورد","0"
1208782175,"رئيسى","عام","لا","لا","علية",1.0000000000000000e+00,"10/31/21 00:00:00","النور","سكينه برازيلي خشب",3.0000000000000000e+00,4.2000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,"1",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,"01/01/00 00:00:00",1,0.0000000000000000e+00,"اسم المدير",0.0000000000000000e+00,0.0000000000000000e+00,"12/30/99 20:32:45",,,0.0000000000000000e+00,,,1,0.0000000000000000e+00,"0","0","12/30/99 20:32:45",1.0000,"مورد","0"
-1376242764,"رئيسى","عام","لا","لا","علبه",1.0000000000000000e+00,"10/31/21 00:00:00","النور","سكينه 6*1 الوان",2.0000000000000000e+01,1.3500000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,"1",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,"01/01/00 00:00:00",1,0.0000000000000000e+00,"اسم المدير",0.0000000000000000e+00,0.0000000000000000e+00,"12/30/99 20:35:23",,,0.0000000000000000e+00,,,1,0.0000000000000000e+00,"0","0","12/30/99 20:35:23",1.0000,"مورد","0"
831557890,"رئيسى","عام","لا","لا","كرتونة",1.0000000000000000e+00,"10/31/21 00:00:00","النور","كرت سكينه 5*1",1.0000000000000000e+00,9.5000000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,"1",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,"01/01/00 00:00:00",1,0.0000000000000000e+00,"اسم المدير",0.0000000000000000e+00,0.0000000000000000e+00,"12/30/99 20:39:05",,,0.0000000000000000e+00,,,1,0.0000000000000000e+00,"0","0","12/30/99 20:39:05",1.0000,"مورد","0"
1328630107,"رئيسى","عام","لا","لا","دستة",1.0000000000000000e+00,"10/31/21 00:00:00","النور","مقص مفك",2.0000000000000000e+00,1.6800000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,"1",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,"01/01/00 00:00:00",1,0.0000000000000000e+00,"اسم المدير",0.0000000000000000e+00,0.0000000000000000e+00,"12/30/99 20:42:11",,,0.0000000000000000e+00,,,1,0.0000000000000000e+00,"0","0","12/30/99 20:40:55",1.0000,"مورد","0"
55682816,"رئيسى","عام","لا","لا","قطعة",1.0000000000000000e+00,"10/31/21 00:00:00","النور","هراسه توم استنلس",2.0000000000000000e+01,2.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,"1",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,"01/01/00 00:00:00",1,0.0000000000000000e+00,"اسم المدير",0.0000000000000000e+00,0.0000000000000000e+00,"12/30/99 20:43:02",,,0.0000000000000000e+00,,,1,0.0000000000000000e+00,"0","0","12/30/99 20:43:02",1.0000,"مورد","0"
-1318823167,"رئيسى","عام","لا","لا","دستة",1.0000000000000000e+00,"10/31/21 00:00:00","النور","هراسه توم مقبض",1.0000000000000000e+00,1.8000000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,"1",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,"01/01/00 00:00:00",1,0.0000000000000000e+00,"اسم المدير",0.0000000000000000e+00,0.0000000000000000e+00,"12/30/99 20:45:28",,,0.0000000000000000e+00,,,1,0.0000000000000000e+00,"0","0","12/30/99 20:45:28",1.0000,"مورد","0"
-744037074,"رئيسى","عام","لا","لا","دستة",1.0000000000000000e+00,"10/31/21 00:00:00","النور","عصارة لمون",2.0000000000000000e+00,1.0800000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,"1",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,"01/01/00 00:00:00",1,0.0000000000000000e+00,"اسم المدير",0.0000000000000000e+00,0.0000000000000000e+00,"12/30/99 20:49:39",,,0.0000000000000000e+00,,,1,0.0000000000000000e+00,"0","0","12/30/99 20:46:46",1.0000,"مورد","0"
