autono,stor,kind,color,farz,unit,no_s,da_s,to,name,qu_s,pr_s,pr_sd,d,no_i,pr_sa,a,bonus,det,da_exp,qu_s2,mandob,company,pr_c,marg,da_st,serfrom,serto,duration,duration2,da_expcode,aimname,d2,Prn,closed,sorttime,qu2,kindtel,exported
-1147628197,"رئيسى","عام","لا","لا","طقم",1.0000000000000000e+00,"11/13/21 00:00:00","ملاك عزمى","حافظ طعام خشبى",2.0000000000000000e+00,1.8000000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,"1",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,"01/01/00 00:00:00",0.0000000000000000e+00,"اسم المدير",,0.0000000000000000e+00,0.0000000000000000e+00,"12/30/99 20:13:54",,,0.0000000000000000e+00,,1,1,0.0000000000000000e+00,"0","0","12/30/99 20:13:54",6.0000,"عميل","0"
-540933376,"رئيسى","عام","لا","لا","طقم",1.0000000000000000e+00,"11/13/21 00:00:00","ملاك عزمى","توزيع سيلكون عادى",1.0000000000000000e+00,1.2500000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,"1",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,"01/01/00 00:00:00",0.0000000000000000e+00,"اسم المدير",,0.0000000000000000e+00,0.0000000000000000e+00,"12/30/99 20:14:38",,,0.0000000000000000e+00,,1,1,0.0000000000000000e+00,"0","0","12/30/99 20:14:38",24.0000,"عميل","0"
397127706,"رئيسى","عام","لا","لا","قطعه",4.0000000000000000e+00,"11/13/21 00:00:00","سعد صابر","توزيع استيل عادى",2.0000000000000000e+00,1.6000000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,"2",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,"01/01/00 00:00:00",0.0000000000000000e+00,"اسم المدير",,0.0000000000000000e+00,0.0000000000000000e+00,"12/30/99 20:45:15",,,0.0000000000000000e+00,,1,1,0.0000000000000000e+00,"0","0","12/30/99 20:45:15",24.0000,"عميل","0"
1843744915,"رئيسى","عام","لا","لا","طقم",4.0000000000000000e+00,"11/13/21 00:00:00","سعد صابر","توزيع سيلكون عادى",2.0000000000000000e+00,1.2500000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,"2",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,"01/01/00 00:00:00",0.0000000000000000e+00,"اسم المدير",,0.0000000000000000e+00,0.0000000000000000e+00,"12/30/99 20:45:52",,,0.0000000000000000e+00,,1,1,0.0000000000000000e+00,"0","0","12/30/99 20:45:52",24.0000,"عميل","0"
-579650600,"رئيسى","عام","لا","لا","طقم",4.0000000000000000e+00,"11/13/21 00:00:00","سعد صابر","توزيع استيل الحداد عادى",2.0000000000000000e+00,3.5000000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,"2",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,"01/01/00 00:00:00",0.0000000000000000e+00,"اسم المدير",,0.0000000000000000e+00,0.0000000000000000e+00,"12/30/99 20:46:20",,,0.0000000000000000e+00,,1,1,0.0000000000000000e+00,"0","0","12/30/99 20:46:20",1.0000,"عميل","0"
856003833,"رئيسى","عام","لا","لا","قطعه",4.0000000000000000e+00,"11/13/21 00:00:00","سعد صابر","مج ديجتال الون",2.0000000000000000e+00,5.5000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,"2",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,"01/01/00 00:00:00",0.0000000000000000e+00,"اسم المدير",,0.0000000000000000e+00,0.0000000000000000e+00,"12/30/99 20:46:39",,,0.0000000000000000e+00,,1,1,0.0000000000000000e+00,"0","0","12/30/99 20:46:39",50.0000,"عميل","0"
-1239798222,"رئيسى","عام","لا","لا","شنطه",5.0000000000000000e+00,"11/13/21 00:00:00","التقوى 3","شنطة ملاعق 86 ارشا لوكس",1.0000000000000000e+00,2.2000000000000000e+03,0.0000000000000000e+00,0.0000000000000000e+00,"3",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,"01/01/00 00:00:00",0.0000000000000000e+00,"اسم المدير",,0.0000000000000000e+00,0.0000000000000000e+00,"12/30/99 20:48:39",,,0.0000000000000000e+00,,1,1,0.0000000000000000e+00,"0","0","12/30/99 20:48:39",1.0000,"عميل","0"
-1701115189,"رئيسى","عام","لا","لا","قطعه",5.0000000000000000e+00,"11/13/21 00:00:00","التقوى 3","مج ديجتال الون",8.0000000000000000e+00,5.5000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,"3",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,"01/01/00 00:00:00",0.0000000000000000e+00,"اسم المدير",,0.0000000000000000e+00,0.0000000000000000e+00,"12/30/99 20:49:02",,,0.0000000000000000e+00,,1,1,0.0000000000000000e+00,"0","0","12/30/99 20:49:02",50.0000,"عميل","0"
1957906352,"رئيسى","عام","لا","لا","طقم",5.0000000000000000e+00,"11/13/21 00:00:00","التقوى 3","فيفالدى طقم كنك استيل بيد خشب",2.0000000000000000e+00,2.0000000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,"3",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,"01/01/00 00:00:00",0.0000000000000000e+00,"اسم المدير",,0.0000000000000000e+00,0.0000000000000000e+00,"12/30/99 20:49:27",,,0.0000000000000000e+00,,1,1,0.0000000000000000e+00,"0","0","12/30/99 20:49:27",1.0000,"عميل","0"
300661233,"رئيسى","عام","لا","لا","قطعه",5.0000000000000000e+00,"11/13/21 00:00:00","التقوى 3","طقم كنك استيل الرحمة",2.0000000000000000e+00,1.5000000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,"3",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,"01/01/00 00:00:00",0.0000000000000000e+00,"اسم المدير",,0.0000000000000000e+00,0.0000000000000000e+00,"12/30/99 20:49:52",,,0.0000000000000000e+00,,1,1,0.0000000000000000e+00,"0","0","12/30/99 20:49:52",8.0000,"عميل","0"
